Date,Weather,Year,Month,Hour,Holiday,Normalized_Temperature,Normalized_Feeling_Temperature,Normalized_Humidity,Windspeed,Count_of_Rented_Bikes
17/12/13,"Clear, Few clouds, Partly cloudy",2013,12,14,0,0.281666667,0.269266667,0.453370787,0.363817978,237
28/02/14,"Clear, Few clouds, Partly cloudy",2014,2,21,0,0.35,0.3535,0.461123596,0.110117978,189
28/03/14,"Clear, Few clouds, Partly cloudy",2014,3,22,0,0.5725,0.546411111,0.645617978,0.141041573,173
12/05/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,5,21,0,0.602916667,0.609988889,0.606741573,0.138794382,230
15/05/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,5,1,0,0.520416667,0.511111111,1.007865169,0.112365169,47
24/03/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,3,10,0,0.265416667,0.233411111,0.931123596,0.334017978,65
13/01/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,1,11,0,0.212083333,0.1717,0.444494382,0.455665169,38
09/12/13,"Clear, Few clouds, Partly cloudy",2013,12,5,0,0.22125,0.281588889,0.802247191,0.01011236,21
27/12/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,12,3,0,0.244166667,0.231188889,0.877865169,0.225023596,2
19/05/13,"Clear, Few clouds, Partly cloudy",2013,5,20,0,0.541666667,0.531311111,0.771123596,0.294835955,282
25/10/13,"Clear, Few clouds, Partly cloudy",2013,10,18,0,0.524166667,0.502777778,0.423370787,0.1045,519
03/07/14,"Clear, Few clouds, Partly cloudy",2014,7,8,0,0.752083333,0.6968,0.624494382,0.094094382,647
04/10/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,10,1,0,0.628333333,0.552722222,0.951235955,0.004494382,26
21/12/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,12,5,0,0.380416667,0.409455556,0.825617978,0.108994382,28
11/10/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,10,20,0,0.586666667,0.5555,0.834494382,0.229517978,234
30/08/14,"Clear, Few clouds, Partly cloudy",2014,8,12,0,0.77125,0.6868,0.451123596,0.136547191,294
20/11/13,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",2013,11,23,0,0.4725,0.455055556,0.884494382,0.092970787,28
08/06/13,"Clear, Few clouds, Partly cloudy",2013,6,2,0,0.646666667,0.588022222,0.898988764,0.095217978,7
25/05/14,"Clear, Few clouds, Partly cloudy",2014,5,11,0,0.687083333,0.638066667,0.791123596,0.145535955,283
24/02/13,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",2013,2,15,0,0.40375,0.410766667,0.547865169,0.393717978,63
23/11/14,"Clear, Few clouds, Partly cloudy",2014,11,13,0,0.467083333,0.455611111,0.385617978,0.285847191,424
25/05/14,"Clear, Few clouds, Partly cloudy",2014,5,21,0,0.71125,0.653722222,0.657865169,0.137670787,255
08/04/13,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",2013,4,15,0,0.344166667,0.328755556,0.876741573,0.228394382,25
09/08/13,"Clear, Few clouds, Partly cloudy",2013,8,17,0,0.800416667,0.764266667,0.552247191,0.166447191,533
21/09/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,9,8,0,0.54625,0.515755556,1.0,0.108994382,463
01/12/13,"Clear, Few clouds, Partly cloudy",2013,12,2,0,0.261666667,0.243411111,0.571235955,0.304117978,9
